DMA	Date	UTC	City	Region	RegionAbbr	Subregion	Longitude	Latitude	DMA_Search	EST	US_Search	Search
Lansing MI	2023-02-17	2023-02-18 03:00:00	Lansing	Michigan	MI	Ingham County	-84.55224999999997	42.73194000000007	14	2023-02-17 22:00:00	76	1064
Rochester MN-Mason City IA-Austin MN	2023-02-17	2023-02-18 03:00:00	Rochester	Minnesota	MN	Olmsted County	-92.45932999999997	44.01932000000005	16	2023-02-17 22:00:00	76	1216
South Bend-Elkhart IN	2023-02-17	2023-02-18 03:00:00	Elkhart	Indiana	IN	Elkhart County	-85.99435542791646	41.67823591497595	14	2023-02-17 22:00:00	76	1064
Boston MA-Manchester NH	2023-02-17	2023-02-18 03:00:00	Manchester	New Hampshire	NH	Hillsborough County	-71.47493182459515	43.029593346961455	14	2023-02-17 22:00:00	76	1064
Albany-Schenectady-Troy NY	2023-02-17	2023-02-18 03:00:00	Schenectady	New York	NY	Schenectady County	-73.85410778560362	42.782520346101855	16	2023-02-17 22:00:00	76	1216
Lexington KY	2023-02-17	2023-02-18 03:00:00	Lexington	Kentucky	KY	Fayette County	-84.50032	38.04859000000005	13	2023-02-17 22:00:00	76	988
Syracuse NY	2023-02-17	2023-02-18 03:00:00	Syracuse	New York	NY	Onondaga County	-76.14737999999994	43.05042000000003	13	2023-02-17 22:00:00	76	988
Roanoke-Lynchburg VA	2023-02-17	2023-02-18 03:00:00	Vinton	Virginia	VA	Roanoke County	-79.89874899999995	37.28095200000007	13	2023-02-17 22:00:00	76	988
Green Bay-Appleton WI	2023-02-17	2023-02-18 03:00:00	Appleton	Wisconsin	WI	Outagamie County	-88.38496613956664	44.26672407622406	13	2023-02-17 22:00:00	76	988
Champaign & Springfield-Decatur IL	2023-02-17	2023-02-18 03:00:00	Springfield	Illinois	IL	Sangamon County	-89.64715339040946	39.837449984549295	13	2023-02-17 22:00:00	76	988
Evansville IN	2023-02-17	2023-02-18 03:00:00	Evansville	Indiana	IN	Vanderburgh County	-87.56404999999995	37.97708000000006	13	2023-02-17 22:00:00	76	988
Philadelphia PA	2023-02-17	2023-02-18 03:00:00	Philadelphia	Pennsylvania	PA	Philadelphia County	-75.16217999999996	39.95222000000008	13	2023-02-17 22:00:00	76	988
Oklahoma City OK	2023-02-17	2023-02-18 03:00:00	Oklahoma City	Oklahoma	OK	Oklahoma County	-97.52106999999997	35.472030000000075	12	2023-02-17 22:00:00	76	912
Columbia-Jefferson City MO	2023-02-17	2023-02-18 03:00:00	Jefferson	Arkansas	AR	Columbia	-93.36837999999992	33.35105000000004	13	2023-02-17 22:00:00	76	988
Terre Haute IN	2023-02-17	2023-02-18 03:00:00	Terre Haute	Indiana	IN	Vigo County	-87.41300999999999	39.46649000000008	12	2023-02-17 22:00:00	76	912
