Id	CreateTime	Title	Comment	Play	Share	Dig	Duration	AuthorId	AuthorFollower	AuthorHeart	AuthorVideoCount	Day	Keyword
7199307062851947818	2023-02-12 16:28:32	Nooott okay. #ohio #ohiotraincrash #trainderailed #vinylchloride #vinylchlorine #ohiocheck #ohiotrainwreck #ohiotrain #crashtrain #traindisaster #traincrashinohio #ohiodisaster #ohiotiktokers #pittsburgh #chemical #chemicaldisaster #toxic #toxicchemicals #disaster #wtf #wtfmoments #wtff #conspiracy #conspiracytiktok #conspirancytheory #conspiracyplot #conspiracytheorieshub #conspiracytheorytiktok #wtfisthis #wtfisgoingon #wtfisthat #ohiostatebuckeyes #eastpalestinetraincrash #eastpalestineohio #eastpalestinefire #chemicalreaction #environment 	0	540500	2986	33600	68	6971922589125460998	28600	228600	208	20230212	Derailment
7199312478872816939	2023-02-12 16:49:29	Some numbers you should know behind the train derailment and chemical spill in East Palestine, Ohio #leftist #news #politics #usa #fyp #4u #ohio 	731	138900	840	22200	179	6781462686195713029	267700	17300000	1399	20230212	Derailment
7199345584313109806	2023-02-12 18:57:54	Train derailment in East Palestine, Ohio. #train #news #fyp #eastpalestine #ohio #derailed 	3868	2100000	19700	102600	52	7046925335314334766	5572	138700	40	20230212	Derailment
7199399410021715202	2023-02-12 22:27:03	#ihio #chemicalohio50 #ohiotrainderail #chemicalspill #news #fypシ゚viral #whitenoise #adamdriver #netflix #viral #foryoupage #trending 	173	190500	999	4913	88	7085293372571468802	14700	90700	167	20230212	Derailment
7199401901727878446	2023-02-12 22:36:31	FILMED 2 YEARS AGO IN OHIO NOW THAT EXACT SCENARIO IS HAPPENING IN OHIO #ohio #train #toxic #trainderailment #whitenoise #palestineohio #ohioderailment #coincidence 	29	14800	71	270	77	6849480979674694662	14100	354400	359	20230212	Derailment
7199427628330143018	2023-02-13 00:16:20	#greenscreenvideo I’m usually not one to go off the deep end, but we want answers a train derails, and you blow up all the chemicals that are in it and then there’s mysteriously a rocket just beaming through the air on a Sunday night ##fyp#ufo#projectbluebeam#conspiracytiktok#weaantpeace#ICBM#ww3	1465	281100	5647	15500	61	158172639675674624	1471	23400	10	20230213	Derailment
7199431226481020202	2023-02-13 00:30:18	THEY DONT CARE ABOUT US. The abuse needs to end. #corecore #fyp #ohio #derailedtrain 	54	53200	223	1594	179	6818028928390398981	115	1874	19	20230213	Derailment
7199444574010379562	2023-02-13 01:22:07	New details just in! #trainwreck #trainderailed #eastpalestine #ohio #toxic #fyp #foryou 	552	138500	906	5033	120	6815350330654573573	3561	51000	43	20230213	Derailment
7199460643161001262	2023-02-13 02:24:28	#norfolksouthern #manmadedisaster #derailed #train #environment #eastpalestine #OH #fyp 	4022	2100000	4937	77700	67	6776833712866837509	37800	1100000	140	20230213	Derailment
7199486059212868910	2023-02-13 04:03:10	There are multiple disasters here. Now it’s an oil spill.  #eastpalestine #eastpalestineohio #trainderailment #norfolksouthern #railway #chemicalspill #explosion #pittsburgh #pennsylvania #westernpa #beavercountypa #lawrencecountypa #ohio #eastohio #uscsb #environmentaldisaster #epa #enviromentalprotection #oilspill	1221	625500	3624	66300	172	6742947452208514054	283700	4900000	323	20230213	Derailment
7199600151483272490	2023-02-13 11:27:07	Replying to @leahpeahpuddinpie  I hope this video helps explain why this was successful. I had every intention of making it the next day after the original, but life got in the way. #eastpalestineohio #norfolksouthern #trainderail #chemicalspill #bleve #explosion 	357	101500	119	1960	256	6986836142843298821	20700	431800	159	20230213	Derailment
7199610768168373547	2023-02-13 12:07:48	#norfolksouthern #manmadedisaster #derailed #train #eastpalestine #OH #PA #fyp 	134	86500	351	2227	121	6776833712866837509	37800	1100000	140	20230213	Derailment
7199676049003678982	2023-02-13 16:20:12	#ohio #conspiracy #governmentconspiracy #chemicals #fypシ #news 	3817	494700	6250	34700	122	7194780407689872389	1935	35600	10	20230213	Derailment
7199734910050127150	2023-02-13 20:08:55	UFOs shot down.   #fyp #ww3 #epsteinisland #ufo #trainderailment #ohio  	18700	6600000	103500	732400	41	6759968517182882822	1200000	4000000	257	20230213	Derailment
7199752819920899371	2023-02-13 21:18:19	#fyp #endtimes #fypシ゚viral #fypシ #valentinesday #ohiotraincrash #traincrash #traindereailment 	173	83700	199	1263	32	7131624933117920298	1002	4655	88	20230213	Derailment
7199755746991476011	2023-02-13 21:29:38		9295	1300000	21300	101100	37	7187197088987759662	113500	3400000	723	20230213	Derailment
7199763899187547394	2023-02-13 22:01:31	Ohio chemical disaster #fyp #breakingnews #military #conspiracy #coverup #media #news 	309	122000	816	3041	60	6760582803237176326	1210	10500	136	20230213	Derailment
7199791484093107498	2023-02-13 23:48:16	#stitch with @jonbalzauce #fyp #genocide 	86	13800	49	357	15	7135968672032982062	1946	12000	124	20230213	Derailment
7199801638813453610	2023-02-14 00:27:39	#foryou #fyp #ohio #ohiotrain #acidrain #trainderailed 	83	313400	272	6311	95	7019352651369628677	5229	78300	433	20230214	Derailment
7199812259835661611	2023-02-14 01:08:53	acid rain prediction from simpsons🤯#🤯 #thesimpsons #acid #train #rain #derailed #ohio #toxic #toxico #toxicas #foryou #foryoupage #viral #parati #paratii #prediction #wow #amazing #mindblown #DanceWithTurboTax #biden #president #2023 	440	698100	3607	29200	42	6785077634495792133	8525	286900	160	20230214	Derailment
7199820008455982382	2023-02-14 01:39:00	#traindereailment #trainderailed #enoree #southcarolina  #spartanburgsc #fox 	25	20200	173	213	18	6894254818010809349	234	1540	60	20230214	Derailment
7199824096786533675	2023-02-14 01:54:51	🫣🤯😩TEXAS TRAIN DERAILMENT CAUSES ONE PERSON TO BE UNALIVED — WHAT ELSE IS GOING TO HAPPEN? — #breakingnews #train #derailedtrain #sad #texas #sadstory #usa #news 	30	40100	268	608	25	7191481563246986286	82400	701600	899	20230214	Derailment
7199824751253097733	2023-02-14 01:57:21	2023 Ohio train derailment summarized #news 	2737	1100000	7369	125100	162	6874432104626783237	890500	54900000	3046	20230214	Derailment
7199841887463722286	2023-02-14 03:03:52	You don’t do time for doing rich crimes. #norfolksouthern #derailment #eastpalestine #eastpalestineohio #leftist #politics #news #yallidarity #bluecollar #ohio	2609	363700	1682	65500	94	6797124033055425542	148500	3200000	283	20230214	Derailment
7199850993905929514	2023-02-14 03:39:19		1797	149800	771	9799	8	7004529660726871046	66600	950800	213	20230214	Derailment
7199853200382463275	2023-02-14 03:47:49	#eastpalestinetraincrash #railroads #railroaders #railroadersoftiktok #raillife #news #usnews #transportation #shipping #truckers #truckersoftiktok @alanthefisher @moreperfectunion @uscongress @federalrailroadadmin 	4617	1300000	7226	109400	175	7050158352219128837	106200	1100000	43	20230214	Derailment
7199872977440197930	2023-02-14 05:04:35	When Erin Brokovich is involved YOU BETTER LISTEN!! #erinbrockovich #breakingnews #trainderailment #ohio #notsafe #endtimes #viral #wakeup #attorney #fyp #foryou #fish 	6	20500	96	775	139	7066919124559430703	16100	400100	141	20230214	Derailment
7199892230251793707	2023-02-14 06:19:33	Ohio train derailment Not storm clouds 🤔? #fyp #fypシ ##ohio##trainderailment 	62	33600	204	1117	35	6871781788009808902	43200	191100	216	20230214	Derailment
7199947251408538922	2023-02-14 09:54:39	White Noise #trainderail #eastpalestine #whitenoise #ohio #conspiracy #movie #2022 #2023 #vinylchloride #polyvinylchloride #hydrochloricacid #usa #traincrash #derailment #fyp 	1356	1000000	3800	38200	27	185878291499581440	1555	39600	82	20230214	Derailment
7199963025607019781	2023-02-14 10:53:53	😶The Fallen (Wait for it..) #world #news #mtl #train #khieu #tiktokhunter #knowledge 👁	4056	2500000	10400	139800	20	6737398150656721925	4600000	157000000	2990	20230214	Derailment
7200058943782145285	2023-02-14 17:06:04	Ohio derailing and chemical spill #ohio #train #toxic 	3590	2400000	11600	103300	51	7053038261543207941	69400	716800	183	20230214	Derailment
7200066148375792938	2023-02-14 17:34:26	#greenscreen 	2377	853800	7277	45700	59	7059456438087910447	7092	119600	312	20230214	Derailment
7200067610732547333	2023-02-14 17:39:41	Residents near the train Derailment in Ohio are concerned about toxic chemicals. #news #newstory #trainderailed #toxicchemicals 	389	131800	786	4670	51	7198943059160433669	1062	10800	36	20230214	Derailment
7200073924351151403	2023-02-14 18:05:54	I may have spent way too much time playing #DerailValley lately	266	211100	388	17600	79	6741898632495334405	67600	1400000	700	20230214	Derailment
7200076298826435883	2023-02-14 18:13:49	The rain smells like acid already #watchthewaters #ohiotrain #derailment #acidrain #agenda2030satanica #prepping 	1210	611500	965	29900	32	6930470768489055237	72300	1100000	227	20230214	Derailment
7200076725319978282	2023-02-14 18:15:24	Nathen Velez and his family have been forced out of their home after a train derailment led to threats of deadly toxic explosions. They’ve lost everything. #ohio #eastpalestine #trainderailed #train #emergency #toxic  	5275	1200000	5284	91500	85	7108767708096578606	538300	11100000	423	20230214	Derailment
7200090543236451627	2023-02-14 19:09:00	#norfolksouthern #manmadedisaster #derailed #train #cleanup #enviroment #contaminatedwater #soil #eastpalestine #OH #PA #fyp 	468	355100	26	3479	14	6776833712866837509	37800	1100000	140	20230214	Derailment
